Item,Quantity,Specification,Notes
ESP32 Dev Module,1,3.3 V logic,Main controller
SHT31,1,Temperature and humidity,GPIO4
DS18B20,1,Waterproof or bare sensor,GPIO27
4.7k resistor,1,Pull-up,DS18B20 data
MQ-2 module,1,5 V module,GPIO34 via safe voltage conditioning
5 V 1-channel relay,1,Active-low preferred,GPIO16
Logic-level N-MOSFET,1,IRLZ44N or equivalent,Fan switching
220 ohm resistor,1,Gate resistor,MOSFET gate
10k resistor,1,Gate pulldown,MOSFET gate
5 V DC fan,1,According to airflow need,GPIO17 through MOSFET
PTC heater,1,12 V or 24 V,Relay controlled
Solar panel,1,12 V nominal,Charge controller input
Solar charge controller,1,Matching battery chemistry,Charging
12 V battery,1,Capacity based on heater runtime,Energy storage
5 V buck converter,1,Rated for total 5 V load,ESP32 and peripherals
Fuse,1,Correct DC rating,Heater/battery protection
